School,ChapterName,PlaceName,ContactURL,FacebookWebsite,Longitude,Latitude,LogoHold,preview,blurbs,LogoHold,PhotoHold,Photo,sequence,photoPreview,CountryForSort,RegionForSort
University of Maryland,Geography Club,"College Park, MARYLAND",mailto:geogclubumd@gmail.com,https://www.facebook.com/UMDGeographyClub/?fref=ts,-76.943316,38.986901,https://dl.dropbox.com/s/v6w1rcgvytlevwj/University_of_Maryland_Seal.svg.jpg?dl=0,,The mission of the Geography Club at the University of Maryland College Park is to engage and encourage students to explore geographic interests within the campus and the community.,https://www.dropbox.com/s/v6w1rcgvytlevwj/University_of_Maryland_Seal.svg.jpg?dl=0,,https://dl.dropbox.com/s/jlaon1lnnwb6ku6/UMD.jpg?dl=0,50,,USA,1-USA
University of South Carolina,Geography Graduate Student Association,"Colombia, SOUTH CAROLINA",mailto:carolina_ggsa@gmail.com?subject=YouthMappers%20at%20University%20of%20South%20Carolina,https://carolinaggsa.wordpress.com/,-81.03515625,34.01624189,https://dl.dropbox.com/s/h46jj2frl2dy4z4/u-o-southern-carolina.jpg?dl=0,,"The GGSA is a fully student-run organization, designed to serve as an advocate and resource for all geography graduate students by filling the role of liaison between the department and students. Our goal is to further professional, academic, and personal development of graduate students interested in the field of geography and its sub disciplines.",https://www.dropbox.com/s/h46jj2frl2dy4z4/u-o-southern-carolina.jpg?dl=0,https://www.dropbox.com/s/hx92b5lb9hg9nn8/USC_SouthCarolina.png?dl=0,https://dl.dropbox.com/s/hx92b5lb9hg9nn8/USC_SouthCarolina.png?dl=0,27,,USA,1-USA
"University of California, Davis",Mapping Club,"Davis, CALIFORNIA",mailto:ucdmappingclub@ucdavis.edu?subject=YouthMappers%20and%20UC%20Davis%20Mapping%20Club,,-121.7285156,38.54816542,https://dl.dropbox.com/s/m8po776jatx5hb0/The_University_of_California_Davis.svg.jpg?dl=0,,,https://www.dropbox.com/s/m8po776jatx5hb0/The_University_of_California_Davis.svg.jpg?dl=0,https://www.dropbox.com/s/d9v64g2oke4i05f/UC%20Davis.png?dl=0,https://dl.dropbox.com/s/1fhs7vjuz3sdz8v/Uoregon.jpg?dl=0,38,,USA,1-USA
Ohio Wesleyan University,Environment and Wildlife Club,"Delaware, OHIO",mailto:envirowild@owu.edu,,-83.068228,40.296237,,,"Environment and Wildlife Club looks at environmental issues on campus, in Delaware, and even nationally! We create campus and community projects, explore and enjoy the outdoors, volunteer, and try to promote environmentalism in every aspect of our lives.",,,,,,USA,1-USA
University of North Texas,UNT Geography Club,"Denton, Texas",Mailto:reeseramsey@my.unt.edu,,-97.152545,33.207491,,,"The Geography Club is a student organization at University of North Texas that welcomes all students who are interested in geography. The objective of the Geography Club is to promote interest in Geography, the Major and the Geography Department along with fellowship among students and faculty. The club also seeks to represent student needs and wants in regard to the study of geography and to provide a forum for the presentation of innovative ideas to the benefit of the University community.",,https://www.dropbox.com/s/urs6dnpuktm6afz/UNT-resize.jpg?dl=0,https://dl.dropbox.com/s/urs6dnpuktm6afz/UNT-resize.jpg?dl=0,,,USA,1-USA
Central Washington University,Geography Club,"Ellensburg, WASHINGTON",mailto:ValkoC@cwu.edu,https://www.cwu.edu/geography/geography-club,-120.4980469,46.98025236,https://dl.dropbox.com/s/n1zozmvc5gtwswp/Central_Washington_Uni.jpg?dl=0,,"Our goal teaming up with Youthmappers is to bring relief to areas that are in need of humanitarian mapping. By doing so, we are serving our fellow brothers and sisters around the world as well as furthering our own cartography skills. ",https://www.dropbox.com/s/n1zozmvc5gtwswp/Central_Washington_Uni.jpg?dl=0,,https://dl.dropbox.com/s/ok1u5utryxt1wn4/central%20washington.jpg?dl=0,41,,USA,1-USA
University of Oregon,Map by Northwest,"Eugene, OREGON",mailto:cbone@uoregon.edu?subject=YouthMappers%20at%20University%20of%20Oregon,http://blogs.uoregon.edu/mxnw/,-123.046875,44.02442152,https://dl.dropbox.com/s/ue0eptjqdgslxd3/Oregon-OU-block.jpg?dl=0,,Map By Northwest aims to engage undergraduate students at the University of Oregon in mapping projects to assist in humanitarian causes and for conducting geographic research. We welcome students from all disciplines to join us in our mapping adventures.,https://www.dropbox.com/s/ue0eptjqdgslxd3/Oregon-OU-block.jpg?dl=0,,https://dl.dropbox.com/s/1fhs7vjuz3sdz8v/Uoregon.jpg?dl=0,31,,USA,1-USA
George Mason University,Mason Mappers,"Fairfax, VIRGINIA",mailto:masonmappers@gmail.com,Facebook.com/MasonMappers,-77.34375,38.82259098,https://dl.dropbox.com/s/wk6jjzb4cmg3ifp/GMU_PLogo_RGB.jpg?dl=0,,"Mason Mappers Student Society is a humanitarian mapping student organization in the George Mason University GGS Department, and its goal is to promote education and knowledge in geo-technologies, geo-info science, to foster good global stewardship and engage in professional development while building a positive, interactive geo-community, as well as shaping students into leaders of tomorrow.  ",https://www.dropbox.com/s/wk6jjzb4cmg3ifp/GMU_PLogo_RGB.jpg?dl=0,https://www.dropbox.com/s/t4sufcmupntfvb3/GMU.png?dl=0,https://dl.dropbox.com/s/t4sufcmupntfvb3/GMU.png?dl=0,7.9,,USA,1-USA
SUNY at Fredonia,Geoventurers,"Fredonia, NEW YORK",mailto:amw30@geneseo.edu?subject=GeoVenturers%20and%20the%20YouthMappers%20network,,-79.36523438,42.42345652,https://dl.dropbox.com/s/7z6xy3nb4zxxh2m/Logo_Stacked_2-C.jpg?dl=0,,GeoVenturers is a group of students joining together across a number of majors on our campus that see geospatial technologies as a tool to serve others and to bring people together. Mentoring for the group brings in science education from the department of curriculum and instruction. We hope that we can bring our skills to play in helping make people's lives better.,https://www.dropbox.com/s/7z6xy3nb4zxxh2m/Logo_Stacked_2-C.jpg?dl=0,https://www.dropbox.com/s/86lazy5t2lblgim/YMFall2019-4.jpg?dl=0,https://dl.dropbox.com/s/86lazy5t2lblgim/YMFall2019-4.jpg?dl=0,14.8,,USA,1-USA
State University of New York Geneseo,SUNY Geneseo GIS Association,"Geneseo, NEW YORK",mailto:bb18@geneseo.edu?subject=About%20the%20SUNY%20Geneseo%20GIS%20Association%20and%20Youth%20Mappers,http://www.facebook.com/GeneseoGIS,-77.78320313,42.81152175,https://dl.dropbox.com/s/jizk2d64fvi2fs5/state-univ-ny.jpg?dl=0,,"We spread awareness, support, education, volunteerism, and career advancement opportunities in geographic information systems, across disciplines and departments, in the context of SUNY Geneseo, the local community, and global community.",https://www.dropbox.com/s/jizk2d64fvi2fs5/state-univ-ny.jpg?dl=0,https://www.dropbox.com/s/bvkbgchjg75cc53/SUNY%20Geneseo.png?dl=0,https://dl.dropbox.com/s/bvkbgchjg75cc53/SUNY%20Geneseo.png?dl=0,14.5,,USA,1-USA
University of Northern Colorado,UNCO Geography and GIS Club,"Greeley, COLORADO",mailto:uncogeoggisclub@gmail.com,www.facebook.com/groups/476365076071166/,-104.695631,40.40414,,,"Official Geography and GIS Club chapter affiliated with the University of Northern Colorado where our aim is to learn, share and connect with those around us. #MakingSenseOfTheWorld",,https://www.dropbox.com/s/kan9x7dysvjh062/UNCOGeographyGISClub_OfficersSpr2018.png,https://dl.dropbox.com/s/kan9x7dysvjh062/UNCOGeographyGISClub_OfficersSpr2018.png,,,USA,1-USA
Indiana University of Pennsylvania,Geospatial Science Club,"Indiana, PENNSYLVANIA",mailto:rhoch@iup.edu,,-79.161392,40.614143,,,,,,,,,USA,1-USA
Cornell University,Mapping Society,"Ithaca, NEW YORK",mailto:mappingsocietycornell@gmail.com?subject=Youth%20Mappers%20and%20Mapping%20Society%20at%20Cornell%20University,,-76.4735,42.4534,https://dl.dropbox.com/s/5m34vv40vd5osvp/cornell.jpg?dl=0,,"Cornell students and faculty use open data and open source software to address challenges at local, national, and global scales. In doing so, we advance our academic and personal goals of developing our own skills around GIS and spatial literacy.",https://www.dropbox.com/s/5m34vv40vd5osvp/cornell.jpg?dl=0,https://www.dropbox.com/s/1svt1msh64wvb80/Cornell%20University.png?dl=0,https://dl.dropbox.com/s/1svt1msh64wvb80/Cornell%20University.png?dl=0,10,,USA,1-USA
Jacksonville State University,JSU Disaster Mapping Team,"Jacksonville, ALABAMA",mailto:ltatum@stu.jsu.edu,,-85.767947,33.822979,,,"The JSU Disaster Mapping Team is a program at Jacksonville State University dedicated to assisting disaster response in times of emergencies. This includes tornadoes, severe thunderstorms, floods, etc. The team is intended to be a valuable asset to surrounding counties and a conduit for the JSU Geoscience Department students to apply what they have learned in an academic setting to support emergency services. Our goal is to streamline disaster response and recovery operations while utilizing student skill sets",,,,,,USA,1-USA
Western Michigan University,Geography Club,"Kalamazoo, MICHIGAN",mailto:wmu.geog.club@gmail.com,http://www.facebook.com/groups/WMUGeographyClub/,-85.610421,42.283622,,,,,https://www.dropbox.com/s/jvmqr59ek0q4sco/WesternMichUniv.png?dl=0,https://dl.dropbox.com/s/jvmqr59ek0q4sco/WesternMichUniv.png?dl=0,,,USA,1-USA
University of Wyoming,Gamma Theta Upsilon/Geography Club,"Laramie, WYOMING",mailto:gtu-geography@uwyo.edu,http://www.uwyo.edu/geography/geographyclub/ ,-105.56651,41.314956,https://dl.dropbox.com/s/zncfamn1wrbu9yi/UWyoming_GTU_logo.png?dl=0,,,https://www.dropbox.com/s/zncfamn1wrbu9yi/UWyoming_GTU_logo.png?dl=0,,,,,USA,1-USA
University of Southern California,SC Mappers,"Los Angeles, CALIFORNIA",mailto:scmappers@gmail.com?subject=YouthMappers%20at%20USC,,-118.3007813,34.01624189,https://dl.dropbox.com/s/y8i7kah4uhu8a8n/univ-southern-california.jpg?dl=0,,"We see the world differently: we view it through a spatial lens. With the power of spatial thinking, we connect place and space to help address global challenges. Collaborate with us!",https://www.dropbox.com/s/y8i7kah4uhu8a8n/univ-southern-california.jpg?dl=0,https://www.dropbox.com/s/oa46ww8mjac2x6y/USC%20-%20california.png?dl=0,https://dl.dropbox.com/s/oa46ww8mjac2x6y/USC%20-%20california.png?dl=0,25,,USA,1-USA
UW-Madison,BadgerMaps,"Madison, WISCONSIN",mailto:uwbadgermaps@gmail.com,https://www.facebook.com/UW-BadgerMaps-197746270811951/,-89.412681,43.076655,,,"BadgerMaps is the UW campus chapter of Youthmappers, an organization dedicated to humanitarian and community mapping services. We connect our volunteer network with opportunities to create GIS data for projects that need it. ",,https://www.dropbox.com/s/mon72tq1v46oxfy/BMAPSGroupUWMadison.png?dl=0,https://dl.dropbox.com/s/mon72tq1v46oxfy/BMAPSGroupUWMadison.png?dl=0,,,USA,1-USA
Kansas State University,Gamma Theta Upsilon: Beta Psi Chapter,"Manhattan, KANSAS",mailto:tblarsen@ksu.edu,https://www.facebook.com/kstate.gtu?fref=ts,-96.59179688,39.16414105,https://dl.dropbox.com/s/dj3ctlxnpq8wd4n/Kansas_State_Wildcats.jpg?dl=0,,"We are the Kansas State University Chapter of Gamma Theta Upsilon, an international geography honor society with affiliation to YouthMappers. We have been active with mapping for OSM and conducted a mapathon called ""Map for Nepal,"" in which we used OpenStreetMap to digitize unmapped areas of Nepal after the earthquake in 2015.",https://www.dropbox.com/s/dj3ctlxnpq8wd4n/Kansas_State_Wildcats.jpg?dl=0,https://www.dropbox.com/s/bkarow0mye36bl6/kansas-6dd283_be7f61b0d1a64b38b6cf2a962443ac65.png?dl=0,https://dl.dropbox.com/s/bkarow0mye36bl6/kansas-6dd283_be7f61b0d1a64b38b6cf2a962443ac65.png?dl=0,5.7,,USA,1-USA
Ball State University,Gamma Theta Upsilon- Iota Omega Chapter,"Muncie, INDIANA",mailto:gtu@bsu.edu,https://www.facebook.com/BallState.GammaThetaUpsilon/,-85.406881,40.206062,https://dl.dropbox.com/s/5wtjasy1z7pnx7t/ball_state_uni.png?dl=0,,"Our chapter is a very active one. We primarily focus on community events, fundraising, and field trips. We are currently looking to develop more mapping-related activities to draw in other students from campus who may be interested in contributing.",https://www.dropbox.com/s/5wtjasy1z7pnx7t/ball_state_uni.png?dl=0,https://www.dropbox.com/s/c1mc0zug2ovkiey/Ball%20State%20University.png?dl=0,https://dl.dropbox.com/s/c1mc0zug2ovkiey/Ball%20State%20University.png?dl=0,,,USA,1-USA
New York University,NYU mHealth Initiative Mapping Corps,"New York, NEW YORK",mailto:mhealth@nyu.edu,www.nyumhealth.org,-74.00390625,40.71395583,https://dl.dropbox.com/s/rd0tlty10soweua/NYU.jpg?dl=0,,"The NYU mobile health or “mHealth” research initiative focuses on development of systems that link people - usually via their phones - to the places that they live and traverse, and thus supports novel research on the way phones and maps can be leveraged to understand behavioral decision making and ultimately health outcomes.  ",https://www.dropbox.com/s/rd0tlty10soweua/NYU.jpg?dl=0,https://www.dropbox.com/s/upkahsbc2w0acqx/NYU_mHealth_picture.png?dl=0,https://dl.dropbox.com/s/upkahsbc2w0acqx/NYU_mHealth_picture.png?dl=0,9.9,,USA,1-USA
University of Central Florida,Geospatial Information Society ,"Orlando, FLORIDA",mailto:rsouth@knights.ucf.edu,,-81.38671875,28.45903302,https://dl.dropbox.com/s/fxu43d8uzc9tn2m/University-of-Central-Florida-logo.jpg?dl=0,,Our mission is to foster a social and educational environment for all majors who are interested in the discussion and application of GIS. Group and community events throughout the academic year organize students to volunteer to help local and regional communities by using community-based GIS projects and educating local middle and high school students on the use and application of GIS.,https://www.dropbox.com/s/fxu43d8uzc9tn2m/University-of-Central-Florida-logo.jpg?dl=0,https://www.dropbox.com/s/8gvk8mo4gp3h5px/central-florida-6dd283_2a5a3eda755f465ca5f74ebc1550533d.png?dl=0,https://dl.dropbox.com/s/8gvk8mo4gp3h5px/central-florida-6dd283_2a5a3eda755f465ca5f74ebc1550533d.png?dl=0,9.7,,USA,1-USA
Miami University,Geography and Planning Society,"Oxford, OHIO",mailto:GPSMiamiOH@gmail.com,,-84.73174,39.511081,,,"GPS at Miami University aims to create a close-knit community of planners and geographers who want to have fun, learn more about careers and higher education in their field, network, and work alongside professionals for real experience.",,https://www.dropbox.com/s/belbke5jej245db/GPSofficers_MiamiUniv-resize.jpg?dl=0,https://dl.dropbox.com/s/belbke5jej245db/GPSofficers_MiamiUniv-resize.jpg?dl=0,,,USA,1-USA
Vassar College,Hudson Valley Mappers,"Poughkeepsie, NEW YORK",mailto:geo@vassar.edu,http://pages.vassar.edu/gis/vassar-youthmappers/,-73.895151,41.686777,,,"Our mission is to provide a multi-disciplinary platform for peers, educators, and community organizations to engage in local mapping projects with a focus on strengthening our local ecosystems, our built environment, and the health of our community. We also seek to contribute geospatial support for global humanitarian aid and development efforts.",,,,,,USA,1-USA
University of Redlands,URSpatial Geo-Thinkers,"Redlands, CALIFORNIA",mailto:nathan_strout@redlands.edu,,-117.163393,34.063103,,,To build upon the members' GIS skills and knowledge of the tools and methods through applied social engagement as well as to educate the campus community about the power of mapping and spatial analysis through community service events.,,,,,,USA,1-USA
Monroe Community College,MCC Mapping Corps,"Rochester, NEW YORK",mailto:GIST@monroecc.edu,,-77.610249,43.101589,,,,,https://www.dropbox.com/s/izw61hvpo47wf9s/groupphoto_monroeCC-resize.jpg?dl=0,https://dl.dropbox.com/s/izw61hvpo47wf9s/groupphoto_monroeCC-resize.jpg?dl=0,,,USA,1-USA
Montgomery College,GeoMC,"Rockville, MARYLAND",mailto:stephanie.calderon@montgomerycollege.edu,,-77.157819,39.09736,,,"GeoMC’s mission is to provide students with hands-on experience in applying geospatial tools, collecting data, and project management. Most of our students come with a background in GIS and are geography majors. Our chapter’s members come from diverse backgrounds and we all work together to make a positive impact in the world live in. ",,https://www.dropbox.com/s/q1264x0q2jh18rq/GeoMC_Group%20Photo.png,https://dl.dropbox.com/s/q1264x0q2jh18rq/GeoMC_Group%20Photo.png,,,USA,1-USA
Oklahoma State University,Geography Club,"Stillwater, Oklahoma ",mailto:hhayden@okstate.edu,,-97.072534,36.120934,,,,,,,,,USA,1-USA
Arizona State University,YouthMappers ASU,"Tempe, ARIZONA",mailto:vivian.arriaga@gmail.com,,-111.928321,33.42512,,,,,,,,,USA,1-USA
The Pennsylvania State University,Penn State GIS Coalition,"University Park, PENNSYLVANIA",mailto:advising@geog.psu.edu,,-77.859758,40.798189,,,"The Penn State Geospatial Information Science (GIS) Coalition is an organization that offers students majoring, minoring, or sharing an interest in GIS opportunities to develop supplementary knowledge and skills necessary to succeed in the professional GIS industry.",,,,,,USA,1-USA
Villanova University,The Villanova Globeplotters,"Villanova, PENNSYLVANIA",mailto:villanova.globeplotters@gmail.com,,-75.343606,40.037329,,,"The Villanova Globeplotters is built on Villanova’s Augustinian principle of selfless-service to the global community. Mixed with relaxed social interaction, we strive to provide geospatial outreach to those in need regardless of participating students’ race, academic major, student group association, or college career level.  ",,https://www.dropbox.com/s/kv9zduh5tslem92/Villanova.png?dl=0,https://dl.dropbox.com/s/kv9zduh5tslem92/Villanova.png?dl=0,,,USA,1-USA
"The Johns Hopkins University, SAIS",SAIS YouthMappers,"Washington, DC",mailto:saisyouthmappers@gmail.com,,-77.040272,38.908143,,,"The mission of SAIS Youth Mappers is to provide students at the Johns Hopkins University SAIS with the opportunity to become highly skilled humanitarian mappers. As a group within the South Asia Club, its primary focus is on supporting humanitarian mapping projects in the Indo-Pacific Region.",,https://www.dropbox.com/s/yz2zcdmi0y9edss/JohnHopkins_SAISYouthMappers.png?dl=0,https://dl.dropbox.com/s/yz2zcdmi0y9edss/JohnHopkins_SAISYouthMappers.png?dl=0,,,USA,1-USA
College of William and Mary,All over the map! ,"Williamsburg, VIRGINIA",mailto:lnseitz@email.wm.edu,,-76.72851563,37.30027528,https://dl.dropbox.com/s/eaqptk6e7g15754/College_William_Mary.jpg?dl=0,,"The students who are all over the map are supported by the Center for Geospatial Analysis, a group integrating GIS across the curriculum and providing student and faculty with hardware, software, and expertise.  Students of all backgrounds utilize GIS across campus, including environmental science and policy, geology, history, business, sociology, biology, anthropology, public policy, and marine sciences.",https://www.dropbox.com/s/eaqptk6e7g15754/College_William_Mary.jpg?dl=0,,https://dl.dropbox.com/s/iparlyj7w3au1rx/WMU.jpg?dl=0,7.8,,USA,1-USA
American University,YouthMappers at American University,"Washington, USA",mailto:la8492a@student.american.edu,,-77.0780394,38.9235186,,,,,,,,,USA,1-USA
Purdue University,Purdue YouthMappers,"West Latafyette, USA",mailto:awthomps@purdue.edu,,-86.9205609,40.4244753,,,,,,,,,USA,1-USA
Rowan University,Rowan GEO Club,"Glassboro, NEW JERSEY",mailto:geoclubrowan@gmail.com,https://rowan.campuslabs.com/engage/organization/geoclub,-75.1211365,39.7098595,,,,,,,,,USA,1-USA
University of Utah,Geography Club,"Salt Lake City, UTAH",mailto:troy.saltiel@utah.edu,https://www.facebook.com/ugeogclub/,-111.842317,40.764693,,,"The mission of the Geography Club is to foster an inclusive environment for any student at the University of Utah to learn about geography and its many applications, and socialize with other students with similar interests.",,,,,,USA,1-USA
University of Alaska,Polar Plotters,"Anchorage, USA",mailto:polarplotters@gmail.com,,-149.819464,61.191011,,,"Polar Plotters is an arctic chapter of the Youth Mappers organization, dedicated to mapping the world from the far North.",,,,,,USA,1-USA
Sacred Heart Junior College,Youth Mappers at Sacred Heart Junior College,"San Ignacio Town, BELIZE",mailto:jtzib18@gmail.com,,-89.074111,17.161067,https://dl.dropbox.com/s/cgfbuwo9a6vefdr/Sacred_Heart_Junior_College_%28Logo%29_Belize.jpg?dl=0,,,https://www.dropbox.com/s/cgfbuwo9a6vefdr/Sacred_Heart_Junior_College_%28Logo%29_Belize.jpg?dl=0,,https://dl.dropbox.com/s/dadzkyh7eqqyzfk/sacred%20heartcollege.jpg?dl=0,60,,BLZ,2-Central America
Universidad de Costa Rica,YouthMappers de Universidad de Costa Rica,"San José, COSTA RICA",mailto:youthmappersucr@gmail.com,https://www.facebook.com/ucr.asege/,-84.051051,9.937249,,,"YouthMappers de Universidad de Costa Rica nace en función de acción social para y por miembros de comunidades distintas según temáticas de involucramiento, interacción y representación de variables dentro de un espacio geográfico definido (un territorio) Gracias a las herramientas de OpenStreetMaps tenemos la viabilidad de poder obtener, validar y compartir la información generada para comprobación y uso destinadas a las comunidades o el interesado en tales temáticas objetivas.",,https://www.dropbox.com/s/l020mod9imk1pip/UnivCostaRica_Group-resize.jpeg?dl=0,https://dl.dropbox.com/s/l020mod9imk1pip/UnivCostaRica_Group-resize.jpeg?dl=0,,,CR,2-Central America
